,January,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Monday,30,5:34 AM,7:32 AM,1:25 PM,4:30 PM,7:15 PM,9:06 PM,
,October,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Tuesday,1,5:36 AM,7:34 AM,1:24 PM,4:28 PM,7:13 PM,9:03 PM,
Wednesday,2,5:38 AM,7:36 AM,1:24 PM,4:26 PM,7:10 PM,9:01 PM,
Thursday,3,5:40 AM,7:38 AM,1:24 PM,4:24 PM,7:08 PM,8:58 PM,
Friday,4,5:42 AM,7:39 AM,1:23 PM,4:22 PM,7:05 PM,8:55 PM,
Saturday,5,5:44 AM,7:41 AM,1:23 PM,4:21 PM,7:03 PM,8:53 PM,
Sunday,6,5:46 AM,7:43 AM,1:23 PM,4:19 PM,7:01 PM,8:50 PM,
Monday,7,5:48 AM,7:45 AM,1:23 PM,4:17 PM,6:58 PM,8:48 PM,
Tuesday,8,5:50 AM,7:47 AM,1:22 PM,4:15 PM,6:56 PM,8:46 PM,
Wednesday,9,5:52 AM,7:48 AM,1:22 PM,4:13 PM,6:54 PM,8:43 PM,
Thursday,10,5:54 AM,7:50 AM,1:22 PM,4:12 PM,6:51 PM,8:41 PM,
Friday,11,5:56 AM,7:52 AM,1:22 PM,4:10 PM,6:49 PM,8:38 PM,
Saturday,12,5:58 AM,7:54 AM,1:21 PM,4:08 PM,6:47 PM,8:36 PM,
Sunday,13,6:00 AM,7:56 AM,1:21 PM,4:06 PM,6:44 PM,8:34 PM,
Monday,14,6:01 AM,7:58 AM,1:21 PM,4:05 PM,6:42 PM,8:31 PM,
Tuesday,15,6:03 AM,8:00 AM,1:21 PM,4:03 PM,6:40 PM,8:29 PM,
Wednesday,16,6:05 AM,8:02 AM,1:20 PM,4:01 PM,6:37 PM,8:27 PM,
Thursday,17,6:07 AM,8:03 AM,1:20 PM,3:59 PM,6:35 PM,8:25 PM,
Friday,18,6:09 AM,8:05 AM,1:20 PM,3:58 PM,6:33 PM,8:23 PM,
Saturday,19,6:11 AM,8:07 AM,1:20 PM,3:56 PM,6:31 PM,8:21 PM,
Sunday,20,6:12 AM,8:09 AM,1:20 PM,3:54 PM,6:28 PM,8:18 PM,
Monday,21,6:14 AM,8:11 AM,1:20 PM,3:52 PM,6:26 PM,8:16 PM,
Tuesday,22,6:16 AM,8:13 AM,1:20 PM,3:51 PM,6:24 PM,8:14 PM,
Wednesday,23,6:18 AM,8:15 AM,1:19 PM,3:49 PM,6:22 PM,8:12 PM,
Thursday,24,6:20 AM,8:17 AM,1:19 PM,3:47 PM,6:20 PM,8:10 PM,
Friday,25,6:21 AM,8:19 AM,1:19 PM,3:46 PM,6:18 PM,8:08 PM,
Saturday,26,6:23 AM,8:21 AM,1:19 PM,3:44 PM,6:16 PM,8:07 PM,
Sunday,27,6:25 AM,8:23 AM,1:19 PM,3:43 PM,6:14 PM,8:05 PM,
Monday,28,6:27 AM,8:25 AM,1:19 PM,3:41 PM,6:12 PM,8:03 PM,
Tuesday,29,6:28 AM,8:27 AM,1:19 PM,3:39 PM,6:10 PM,8:01 PM,
Wednesday,30,6:30 AM,8:29 AM,1:19 PM,3:38 PM,6:08 PM,7:59 PM,
Thursday,31,6:32 AM,8:30 AM,1:19 PM,3:36 PM,6:06 PM,7:57 PM,
,November,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Friday,1,6:34 AM,8:32 AM,1:19 PM,3:35 PM,6:04 PM,7:56 PM,
Saturday,2,6:35 AM,8:34 AM,1:19 PM,3:33 PM,6:02 PM,7:54 PM,
Sunday,3,5:37 AM,7:36 AM,12:19 PM,2:32 PM,5:00 PM,6:52 PM,Daylight saving ends
Monday,4,5:39 AM,7:38 AM,12:19 PM,2:31 PM,4:58 PM,6:51 PM,
Tuesday,5,5:40 AM,7:40 AM,12:19 PM,2:29 PM,4:56 PM,6:49 PM,
Wednesday,6,5:42 AM,7:42 AM,12:19 PM,2:28 PM,4:54 PM,6:48 PM,
Thursday,7,5:44 AM,7:44 AM,12:19 PM,2:26 PM,4:53 PM,6:46 PM,
Friday,8,5:45 AM,7:46 AM,12:19 PM,2:25 PM,4:51 PM,6:45 PM,
Saturday,9,5:47 AM,7:48 AM,12:20 PM,2:24 PM,4:49 PM,6:43 PM,
Sunday,10,5:49 AM,7:50 AM,12:20 PM,2:22 PM,4:47 PM,6:42 PM,
Monday,11,5:50 AM,7:52 AM,12:20 PM,2:21 PM,4:46 PM,6:41 PM,
Tuesday,12,5:52 AM,7:54 AM,12:20 PM,2:20 PM,4:44 PM,6:39 PM,
Wednesday,13,5:53 AM,7:56 AM,12:20 PM,2:19 PM,4:43 PM,6:38 PM,
Thursday,14,5:55 AM,7:58 AM,12:20 PM,2:18 PM,4:41 PM,6:37 PM,
Friday,15,5:57 AM,8:00 AM,12:21 PM,2:17 PM,4:39 PM,6:36 PM,
Saturday,16,5:58 AM,8:02 AM,12:21 PM,2:15 PM,4:38 PM,6:35 PM,
Sunday,17,6:00 AM,8:03 AM,12:21 PM,2:14 PM,4:37 PM,6:33 PM,
Monday,18,6:01 AM,8:05 AM,12:21 PM,2:13 PM,4:35 PM,6:32 PM,
Tuesday,19,6:03 AM,8:07 AM,12:21 PM,2:12 PM,4:34 PM,6:31 PM,
Wednesday,20,6:04 AM,8:09 AM,12:22 PM,2:11 PM,4:33 PM,6:30 PM,
Thursday,21,6:06 AM,8:11 AM,12:22 PM,2:10 PM,4:31 PM,6:30 PM,
Friday,22,6:07 AM,8:13 AM,12:22 PM,2:10 PM,4:30 PM,6:29 PM,
Saturday,23,6:09 AM,8:14 AM,12:23 PM,2:09 PM,4:29 PM,6:28 PM,
Sunday,24,6:10 AM,8:16 AM,12:23 PM,2:08 PM,4:28 PM,6:27 PM,
Monday,25,6:11 AM,8:18 AM,12:23 PM,2:07 PM,4:27 PM,6:26 PM,
Tuesday,26,6:13 AM,8:19 AM,12:24 PM,2:07 PM,4:26 PM,6:26 PM,
Wednesday,27,6:14 AM,8:21 AM,12:24 PM,2:06 PM,4:25 PM,6:25 PM,
Thursday,28,6:15 AM,8:23 AM,12:24 PM,2:05 PM,4:24 PM,6:24 PM,
Friday,29,6:17 AM,8:24 AM,12:25 PM,2:05 PM,4:23 PM,6:24 PM,
Saturday,30,6:18 AM,8:26 AM,12:25 PM,2:04 PM,4:22 PM,6:23 PM,
,December,Fajr,Sunrise,Zuhr,Asr,Magrib,Isha,
Sunday,1,6:19 AM,8:27 AM,12:25 PM,2:04 PM,4:21 PM,6:23 PM,
Monday,2,6:20 AM,8:29 AM,12:26 PM,2:03 PM,4:20 PM,6:22 PM,
Tuesday,3,6:21 AM,8:30 AM,12:26 PM,2:03 PM,4:20 PM,6:22 PM,
Wednesday,4,6:23 AM,8:32 AM,12:26 PM,2:02 PM,4:19 PM,6:21 PM,
Thursday,5,6:24 AM,8:33 AM,12:27 PM,2:02 PM,4:19 PM,6:21 PM,
Friday,6,6:25 AM,8:34 AM,12:27 PM,2:02 PM,4:18 PM,6:21 PM,
Saturday,7,6:26 AM,8:36 AM,12:28 PM,2:01 PM,4:18 PM,6:21 PM,
Sunday,8,6:27 AM,8:37 AM,12:28 PM,2:01 PM,4:17 PM,6:20 PM,
Monday,9,6:28 AM,8:38 AM,12:29 PM,2:01 PM,4:17 PM,6:20 PM,
Tuesday,10,6:29 AM,8:39 AM,12:29 PM,2:01 PM,4:17 PM,6:20 PM,
Wednesday,11,6:30 AM,8:40 AM,12:29 PM,2:01 PM,4:16 PM,6:20 PM,
Thursday,12,6:30 AM,8:41 AM,12:30 PM,2:01 PM,4:16 PM,6:20 PM,
Friday,13,6:31 AM,8:42 AM,12:30 PM,2:01 PM,4:16 PM,6:20 PM,
Saturday,14,6:32 AM,8:43 AM,12:31 PM,2:01 PM,4:16 PM,6:20 PM,
Sunday,15,6:33 AM,8:44 AM,12:31 PM,2:01 PM,4:16 PM,6:21 PM,
Monday,16,6:34 AM,8:45 AM,12:32 PM,2:01 PM,4:16 PM,6:21 PM,
Tuesday,17,6:34 AM,8:46 AM,12:32 PM,2:02 PM,4:16 PM,6:21 PM,
Wednesday,18,6:35 AM,8:47 AM,12:33 PM,2:02 PM,4:17 PM,6:21 PM,
Thursday,19,6:36 AM,8:47 AM,12:33 PM,2:02 PM,4:17 PM,6:22 PM,
Friday,20,6:36 AM,8:48 AM,12:34 PM,2:03 PM,4:17 PM,6:22 PM,
Saturday,21,6:37 AM,8:48 AM,12:34 PM,2:03 PM,4:18 PM,6:22 PM,
Sunday,22,6:37 AM,8:49 AM,12:34 PM,2:04 PM,4:18 PM,6:23 PM,
Monday,23,6:38 AM,8:49 AM,12:35 PM,2:04 PM,4:19 PM,6:23 PM,
Tuesday,24,6:38 AM,8:50 AM,12:35 PM,2:05 PM,4:19 PM,6:24 PM,
Wednesday,25,6:38 AM,8:50 AM,12:36 PM,2:05 PM,4:20 PM,6:25 PM,
Thursday,26,6:39 AM,8:50 AM,12:36 PM,2:06 PM,4:21 PM,6:25 PM,
Friday,27,6:39 AM,8:50 AM,12:37 PM,2:07 PM,4:21 PM,6:26 PM,
Saturday,28,6:39 AM,8:50 AM,12:37 PM,2:07 PM,4:22 PM,6:27 PM,
Sunday,29,6:39 AM,8:50 AM,12:38 PM,2:08 PM,4:23 PM,6:27 PM,
Monday,30,6:39 AM,8:50 AM,12:38 PM,2:09 PM,4:24 PM,6:28 PM,
Tuesday,31,6:39 AM,8:50 AM,12:39 PM,2:10 PM,4:25 PM,6:29 PM,
